VIV_SEL,HOGAR,ND_TIPO,BPCOD,R_SEL,BP1_1,BP1_2C,BP1_3C,BP1_4,BP1_5,BP1_6,BP1_7,BP1_8,BP1_20,BP1_23,BP1_31,BP1_35_1,BP1_35_2,BP1_35_3,BP1_35_4,BP1_35_5,BP1_35_6,BP1_35_7,BP1_35_8,BP1_35_9,BP1_35_10,BP1_35_11,BP1_35_99,BP1_36,BP1_37,BP1_38,FAC_DEL,DOM,EST,UPM,CLUSTERS
3,1,1,2,1,8,1,1,2,1,2,1,1,2,4,1,0,1,0,0,0,0,0,0,0,0,0,0,1,3000,0,184,1,1,46,1
4,1,1,8,2,7,1,1,9,2,1,2,1,1,4,2,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,477,1,2,47,1
4,1,1,2,2,2,1,1,4,1,2,1,1,2,9,2,0,0,0,0,0,0,0,0,0,0,0,1,1,5000,0,174,1,1,48,1
2,1,1,2,2,3,1,1,1,5,2,1,1,2,5,2,0,0,1,0,0,0,0,0,0,0,0,0,1,2500,0,177,1,2,49,1
3,1,1,2,5,11,1,1,4,1,2,1,1,2,5,2,0,0,0,0,0,0,0,1,0,0,0,0,1,15000,0,177,1,2,49,1
2,1,1,2,2,3,1,1,4,1,2,1,1,2,8,2,0,0,1,0,0,0,0,0,0,0,0,0,1,1500,0,177,1,1,52,1
1,1,1,1,1,11,1,1,4,1,2,1,1,2,9,2,0,0,1,0,0,0,0,0,0,0,0,0,1,45000,0,192,1,1,53,1
1,1,1,6,2,10,14,39,9,4,2,1,1,2,9,1,0,0,0,0,0,0,0,0,1,0,0,0,1,32000,0,579,1,3,54,1
3,1,1,2,2,5,1,1,2,1,2,1,1,2,3,2,0,0,0,1,0,0,0,0,0,0,0,0,1,5900,0,193,1,3,54,1
3,1,2,2,2,7,1,1,3,1,2,1,1,2,4,2,0,0,1,0,0,0,0,0,0,0,0,0,1,1050,0,193,1,3,54,1
2,1,1,2,3,8,1,1,2,1,2,1,1,2,6,2,0,1,0,0,0,0,0,0,0,0,0,0,1,4000,0,169,1,2,56,1
4,1,1,12,4,9,1,1,1,1,2,2,1,2,6,1,1,1,0,0,0,0,0,0,0,0,0,0,3,0,0,676,1,2,56,1
5,1,1,4,3,11,1,1,3,5,2,1,2,2,6,1,0,1,0,0,0,0,0,0,0,0,0,0,1,5000,0,507,1,2,56,1
5,1,1,6,3,3,1,1,4,5,2,1,1,2,5,1,1,0,0,0,0,0,0,0,0,0,0,0,1,8000,0,507,1,2,56,1
5,1,1,3,3,7,1,1,2,2,1,1,2,1,4,1,0,1,0,1,0,0,0,1,1,0,0,0,1,5000,0,166,1,1,57,1
