VIV_SEL,HOGAR,ND_TIPO,TD_TIPO,BPCOD,R_SEL,AREAM_OCU,RESUL_H,BP1_1,BP1_2C,BP1_3C,BP1_4,BP1_5,BP1_6,BP1_20,BP1_23,BP1_30,BP1_33,BP1_36_01,BP1_36_02,BP1_36_03,BP1_36_04,BP1_36_05,BP1_36_06,BP1_36_07,BP1_36_08,BP1_36_09,BP1_36_10,BP1_36_11,BP1_36_99,DOMINIO,ESTRATO,EST_DIS,UPM_DIS
3,1,2,3,2,3,14,1,4,1,1,4,1,2,2,4,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,2,1,62
5,1,3,4,2,3,14,1,8,1,1,4,2,2,2,6,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,3,2,22
4,1,1,2,2,2,14,1,1,1,1,4,1,2,2,4,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,3,2,170
4,1,2,2,11,6,14,1,3,1,1,3,1,1,2,4,2,3,9,9,9,9,9,9,9,9,9,9,9,9,1,3,2,168
3,1,1,3,3,2,14,1,1,1,1,4,2,9,2,7,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,3,2,30
1,1,2,2,2,1,14,1,11,1,1,1,1,1,2,9,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,4,3,177
4,1,5,5,10,6,14,1,1,1,1,2,1,1,2,3,2,5,0,0,0,0,0,0,0,0,1,0,0,0,1,3,2,168
4,1,1,2,9,1,14,1,8,1,1,1,1,2,2,4,2,5,9,9,9,9,9,9,9,9,9,9,9,9,1,4,3,101
5,1,2,4,2,3,14,1,5,1,1,4,2,2,2,6,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,3,2,22
1,1,2,2,2,1,14,1,11,1,1,3,1,2,2,5,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,3,2,100
2,1,1,2,2,2,14,1,5,1,1,3,1,2,2,4,1,1,9,9,9,9,9,9,9,9,9,9,9,9,1,4,3,177
3,1,1,1,3,1,14,1,6,1,1,2,2,9,2,3,2,5,9,9,9,9,9,9,9,9,9,9,9,9,1,4,3,252
4,1,1,1,8,2,14,1,6,1,1,2,5,9,2,9,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,84
4,1,1,3,2,3,14,1,10,1,1,3,1,2,2,7,1,1,9,9,9,9,9,9,9,9,9,9,9,9,1,3,2,155
3,1,1,1,9,1,14,1,6,1,1,2,2,1,2,4,2,1,0,0,0,0,0,0,0,0,1,0,0,0,1,4,3,89
4,1,1,1,6,1,14,1,12,1,1,4,3,2,1,99,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,4,3,88
5,2,1,3,4,1,14,1,1,1,1,3,2,2,2,7,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,2,4,259
5,1,4,4,2,3,14,1,12,1,1,3,2,2,2,6,2,1,0,0,0,0,0,0,0,0,0,1,0,0,1,3,2,22
3,1,1,1,1,3,14,1,11,1,1,3,1,2,1,99,2,3,9,9,9,9,9,9,9,9,9,9,9,9,1,3,2,155
5,1,1,1,8,1,14,1,9,1,1,2,2,9,2,6,2,1,0,0,0,0,1,0,0,0,0,0,0,0,1,2,1,199
4,1,1,1,7,1,14,1,8,1,1,9,4,9,2,6,1,1,9,9,9,9,9,9,9,9,9,9,9,9,1,4,3,101
3,1,1,1,9,1,14,1,9,1,1,2,2,2,2,4,2,5,0,0,0,0,0,0,0,0,1,0,0,0,1,4,3,119
1,1,1,1,4,1,14,1,4,1,1,4,2,2,2,9,2,3,0,0,0,0,0,0,0,0,1,0,0,0,1,2,1,211
3,1,3,3,3,2,14,1,10,1,1,4,2,9,2,7,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,3,2,30
5,1,2,3,3,1,14,1,6,1,1,4,2,9,2,4,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,3,2,64
17,1,1,1,2,1,14,1,3,1,1,2,1,2,2,6,2,1,0,0,0,1,0,0,0,0,0,0,0,0,2,3,8,275
1,1,1,1,10,2,14,1,5,1,1,1,1,1,1,99,2,3,0,1,1,1,0,1,1,1,1,0,0,0,1,4,3,201
1,1,1,1,9,2,14,1,3,1,1,2,2,2,2,6,1,3,1,0,1,0,1,0,0,0,0,0,0,0,1,4,3,89
1,1,1,2,8,1,14,1,6,1,1,1,4,9,2,9,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,3,2,154
5,1,1,1,11,1,14,1,10,1,1,2,1,1,2,6,2,3,0,0,1,1,0,0,0,0,1,0,0,0,1,3,2,151
11,1,2,2,2,1,14,1,1,1,1,2,1,2,2,6,2,1,0,0,0,0,0,0,0,0,1,0,0,0,2,3,8,272
4,1,2,2,4,3,14,1,11,1,1,2,2,2,2,6,2,1,0,0,0,1,0,0,0,1,1,0,0,0,1,4,3,201
5,1,1,1,2,2,14,1,7,1,1,4,2,2,2,4,1,1,9,9,9,9,9,9,9,9,9,9,9,9,1,2,1,211
1,1,3,3,11,1,14,1,5,1,1,2,1,1,2,6,2,3,0,0,0,1,0,1,0,0,0,0,0,0,1,2,1,31
3,1,2,2,13,3,14,1,12,1,1,3,1,1,2,1,2,3,9,9,9,9,9,9,9,9,9,9,9,9,1,3,2,155
3,1,1,1,13,2,14,1,12,1,1,1,1,1,2,6,2,2,0,1,1,1,0,0,0,0,0,0,0,0,1,3,2,66
3,1,1,1,13,2,14,1,5,1,1,2,6,1,2,6,2,5,0,0,0,0,0,0,0,0,1,0,0,0,1,4,3,202
1,1,1,1,10,1,14,1,6,1,1,2,1,1,2,4,2,5,0,0,0,0,0,0,0,0,1,0,0,0,1,2,1,212
2,1,1,1,2,1,14,1,5,1,1,4,1,2,2,3,2,1,0,0,0,0,0,0,0,0,1,0,0,0,1,4,3,126
5,1,2,2,2,5,14,1,3,1,1,3,1,2,2,4,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,3,2,86
4,1,1,1,4,1,14,1,9,1,1,1,2,2,1,99,2,1,0,0,0,1,0,0,0,0,1,0,0,0,1,2,1,214
4,1,2,2,2,2,14,1,1,1,1,4,1,2,2,4,2,1,0,0,0,0,0,0,0,0,1,0,0,0,1,3,2,170
3,1,2,2,2,2,14,1,10,1,1,4,1,2,1,99,2,1,0,0,0,0,0,0,0,1,1,0,0,0,1,3,2,30
5,1,1,1,9,2,14,1,5,1,1,2,2,1,2,3,2,5,1,1,1,1,1,1,1,1,1,0,0,0,1,4,3,200
3,1,1,1,9,1,14,1,6,1,1,2,2,2,2,4,1,3,0,0,0,0,0,0,0,0,0,1,0,0,1,4,3,252
3,1,1,1,9,3,14,1,5,1,1,2,2,1,2,1,2,3,9,9,9,9,9,9,9,9,9,9,9,9,1,3,2,155
3,1,1,2,13,3,14,1,12,1,1,1,6,1,2,4,2,3,9,9,9,9,9,9,9,9,9,9,9,9,1,3,2,155
1,1,3,3,2,1,14,1,10,1,1,1,1,2,2,7,2,5,0,0,0,0,0,0,0,1,0,0,0,0,1,3,2,63
3,1,1,1,2,2,14,1,7,1,1,4,1,2,2,6,2,5,9,9,9,9,9,9,9,9,9,9,9,9,1,4,3,202
5,1,1,1,5,5,14,1,4,1,1,3,1,1,2,5,2,1,0,1,1,0,0,0,0,0,1,0,0,0,1,3,2,86
1,1,1,2,2,1,14,1,7,1,1,4,2,2,2,5,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,3,2,100
2,1,2,2,2,2,14,1,3,1,1,3,1,2,2,4,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,4,3,177
3,1,1,1,10,1,14,1,11,1,1,2,1,1,2,3,2,5,0,0,1,1,0,1,0,0,0,0,0,0,1,3,2,254
3,1,3,3,14,3,14,1,9,1,1,1,3,1,2,4,2,3,0,1,1,0,0,1,0,0,0,0,0,0,1,3,2,155
4,1,1,5,10,6,14,1,12,1,1,1,3,1,2,4,2,3,9,9,9,9,9,9,9,9,9,9,9,9,1,3,2,168
2,1,3,4,2,1,14,1,6,1,1,4,1,2,2,4,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,3,2,97
3,1,2,3,3,2,14,1,5,1,1,4,2,9,2,7,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,3,2,30
1,1,1,3,2,1,14,1,4,1,1,4,1,2,2,7,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,3,2,63
3,1,2,2,2,1,14,1,4,1,1,4,1,1,2,3,2,5,9,9,9,9,9,9,9,9,9,9,9,9,1,2,1,209
2,2,1,1,7,1,14,1,10,1,1,2,4,9,2,7,2,1,0,0,0,0,0,0,0,0,0,0,1,0,1,3,2,64
5,1,1,1,3,3,14,1,10,1,1,2,2,9,2,3,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,2,1,95
4,1,2,3,3,1,14,1,8,1,1,3,1,9,2,4,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,3,2,254
5,1,1,1,2,1,14,1,1,1,1,4,1,2,2,3,2,1,0,0,1,0,0,0,0,1,0,0,0,0,1,2,1,256
4,1,1,1,4,1,14,1,12,1,1,4,2,2,1,99,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,4,3,88
4,1,1,2,4,3,14,1,8,1,1,1,2,1,2,1,1,3,9,9,9,9,9,9,9,9,9,9,9,9,1,4,3,201
5,1,1,3,11,1,14,1,6,1,1,1,2,1,1,99,2,3,9,9,9,9,9,9,9,9,9,9,9,9,1,3,2,21
1,1,1,1,4,1,14,1,6,1,1,4,2,1,1,99,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,4,3,253
5,2,1,1,7,1,14,1,1,1,1,3,4,9,2,9,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,4,3,118
4,1,2,3,2,3,14,1,9,1,1,1,1,2,2,3,1,1,9,9,9,9,9,9,9,9,9,9,9,9,1,3,2,155
3,1,2,2,2,5,14,1,4,1,1,3,2,2,2,4,2,1,0,0,0,0,0,0,0,1,0,0,0,0,1,4,3,3
1,1,1,1,8,1,14,1,11,1,1,2,1,9,2,7,2,1,9,9,9,9,9,9,9,9,9,9,9,9,2,2,7,276
5,1,2,2,3,2,14,1,7,1,1,9,2,9,2,6,2,1,0,0,1,0,0,0,0,0,0,0,0,0,1,3,2,7
2,1,1,1,3,2,14,1,5,1,1,3,2,9,2,4,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,4,3,177
1,1,1,1,2,1,14,1,5,1,1,4,2,2,2,4,2,1,0,0,1,1,0,0,0,1,0,0,0,0,1,2,1,256
3,1,1,1,5,2,14,1,4,1,1,3,1,1,2,7,1,2,9,9,9,9,9,9,9,9,9,9,9,9,1,3,2,168
1,1,1,1,10,1,14,1,1,1,1,2,1,1,2,1,2,3,0,0,0,1,0,0,0,0,0,1,0,0,1,3,2,100
3,1,1,1,2,3,14,1,6,1,1,4,1,2,2,6,2,5,9,9,9,9,9,9,9,9,9,9,9,9,1,3,2,86
3,1,1,1,2,1,14,1,1,1,1,4,1,2,2,3,2,1,0,0,0,0,0,0,0,0,1,0,0,0,1,3,2,63
5,1,1,1,2,2,14,1,6,1,1,3,1,2,2,7,2,1,0,0,0,0,0,0,0,0,1,0,0,0,1,2,1,62
2,1,1,1,1,1,14,1,3,1,1,1,1,2,1,99,2,1,0,1,0,0,0,0,0,0,1,0,0,0,1,3,2,215
1,1,1,1,1,1,14,1,10,1,1,2,1,2,1,99,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2,1,84
1,1,1,2,3,2,14,1,1,1,1,3,2,9,2,7,2,3,9,9,9,9,9,9,9,9,9,9,9,9,2,3,9,281
3,1,2,2,2,4,14,1,7,1,1,3,1,2,2,4,2,1,0,0,0,0,0,0,0,0,0,1,0,0,1,2,1,60
3,1,1,1,4,1,14,1,1,1,1,2,2,2,2,3,1,3,0,1,0,1,0,0,0,0,1,0,0,0,1,3,2,125
1,1,1,1,2,1,14,1,5,1,1,2,1,2,2,6,2,1,1,0,1,0,0,0,0,0,0,0,0,0,1,4,3,176
3,1,1,1,2,1,14,1,12,1,1,4,1,1,1,99,1,1,9,9,9,9,9,9,9,9,9,9,9,9,1,3,2,125
2,1,1,1,10,1,14,1,12,1,1,2,1,1,1,99,1,3,0,1,1,0,1,0,0,0,0,0,0,0,1,3,2,125
1,1,2,3,4,2,14,1,4,1,1,2,2,2,2,4,1,1,9,9,9,9,9,9,9,9,9,9,9,9,1,2,1,67
1,1,1,3,2,2,14,1,8,1,1,4,1,2,2,4,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,3,2,6
4,1,1,2,4,3,14,1,8,1,1,2,2,2,1,99,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,3,2,155
3,1,1,1,8,3,14,1,9,1,1,3,8,9,2,5,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,3,2,86
5,1,1,2,2,5,14,1,4,1,1,3,1,2,2,4,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,3,2,86
2,1,1,1,6,1,14,1,4,1,1,2,4,1,2,4,2,1,0,0,0,0,0,0,0,0,0,0,1,0,1,4,3,253
2,1,1,1,2,3,14,1,4,1,1,3,1,2,2,4,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,4,3,119
2,1,3,3,2,3,14,1,5,1,1,3,1,2,2,3,2,1,0,0,0,0,0,0,0,1,0,0,0,0,1,3,2,178
5,1,1,1,7,1,14,1,8,1,1,9,8,9,2,9,2,5,1,0,0,0,0,0,0,0,0,0,0,0,1,4,3,118
5,1,1,1,9,1,14,1,12,1,1,2,1,1,2,6,2,5,0,0,0,0,0,0,0,0,1,0,0,0,1,4,3,124
5,1,1,1,2,1,14,1,2,1,1,1,2,2,1,99,2,1,0,1,0,0,0,0,0,1,0,0,0,0,1,4,3,202
12,1,2,3,9,1,14,1,5,1,1,3,8,2,2,9,2,5,9,9,9,9,9,9,9,9,9,9,9,9,2,3,9,283
5,1,1,2,3,2,14,1,3,1,1,9,1,9,2,6,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,3,2,7
4,1,1,1,1,1,14,1,8,1,1,2,1,2,1,99,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,2,1,10
5,1,1,2,1,2,14,1,9,1,1,3,1,2,1,99,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,3,6,278
3,1,1,1,11,3,14,1,4,1,1,3,5,1,2,4,1,2,9,9,9,9,9,9,9,9,9,9,9,9,1,3,2,155
1,1,2,3,2,1,14,1,6,1,1,4,1,2,2,6,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,3,2,63
3,1,1,1,4,3,14,1,12,1,1,4,2,1,2,6,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,2,1,62
4,1,4,5,10,6,14,1,4,1,1,2,1,1,2,3,2,5,9,9,9,9,9,9,9,9,9,9,9,9,1,3,2,168
5,1,1,1,3,1,14,1,6,1,1,4,2,9,2,4,2,5,9,9,9,9,9,9,9,9,9,9,9,9,1,4,3,82
3,1,1,3,2,3,14,1,1,1,1,4,1,2,2,4,1,1,9,9,9,9,9,9,9,9,9,9,9,9,1,2,1,62
2,1,1,1,2,1,14,1,10,1,1,3,5,2,2,4,2,1,0,0,0,0,0,0,0,1,0,0,0,0,1,2,1,167
3,1,1,1,13,2,14,1,4,1,1,2,1,1,2,7,2,3,0,0,0,1,0,0,0,0,0,0,0,0,1,3,2,4
3,1,1,1,2,1,14,1,6,1,1,4,1,2,2,6,2,3,9,9,9,9,9,9,9,9,9,9,9,9,1,3,2,182
2,1,1,1,10,1,14,1,6,1,1,2,4,1,2,4,2,3,0,0,0,1,0,1,0,0,0,0,0,0,1,2,1,211
3,1,1,2,10,1,14,1,4,1,1,2,1,1,2,3,2,3,9,9,9,9,9,9,9,9,9,9,9,9,1,2,1,209
2,1,1,4,2,1,14,1,10,1,1,4,1,2,2,4,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,3,2,97
4,1,1,1,8,1,14,1,11,1,1,2,4,9,2,9,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,3,2,29
17,1,1,1,3,2,14,1,10,1,1,2,4,9,2,6,2,1,9,9,9,9,9,9,9,9,9,9,9,9,2,2,240,5098
4,1,1,1,3,6,14,1,2,1,1,4,1,9,2,3,2,5,9,9,9,9,9,9,9,9,9,9,9,9,1,3,2,168
1,1,1,1,9,1,14,1,4,1,1,2,3,1,2,3,2,3,1,1,0,1,0,1,0,0,1,0,0,0,1,3,2,87
3,1,1,1,3,3,14,1,11,1,1,2,2,9,2,4,2,5,9,9,9,9,9,9,9,9,9,9,9,9,1,2,1,62
3,1,1,1,3,3,14,1,2,1,1,3,2,9,2,9,2,1,1,0,0,1,0,0,0,0,0,0,0,0,1,2,1,199
1,1,1,3,11,1,14,1,2,1,1,2,1,1,2,6,2,2,9,9,9,9,9,9,9,9,9,9,9,9,1,2,1,31
3,1,1,1,5,1,14,1,12,1,1,2,1,1,1,99,2,1,1,1,1,1,0,0,1,1,0,0,0,0,1,3,2,22
4,1,2,5,10,6,14,1,8,1,1,3,1,1,2,4,2,5,9,9,9,9,9,9,9,9,9,9,9,9,1,3,2,168
3,1,1,2,2,2,14,1,10,1,1,4,1,2,2,7,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,3,2,30
5,2,3,3,4,1,14,1,11,1,1,4,2,2,2,3,2,1,0,0,0,0,0,0,0,0,1,0,0,0,1,2,4,259
4,1,1,1,2,2,14,1,2,1,1,4,1,2,2,6,2,1,0,0,0,1,0,0,0,1,1,0,0,0,1,4,3,2
1,1,1,1,2,1,14,1,12,1,1,4,1,2,2,6,2,1,0,0,0,0,0,0,0,0,1,0,0,0,1,3,2,65
5,1,1,1,9,1,14,1,6,1,1,2,2,1,2,4,2,5,0,0,0,1,0,0,0,1,0,0,0,0,1,3,2,65
3,1,1,1,8,2,14,1,11,1,1,9,4,9,2,6,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,2,4,260
4,1,3,3,2,3,14,1,1,1,1,1,4,2,2,4,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,3,2,155
4,1,2,2,3,3,14,1,6,1,1,2,2,9,2,3,2,5,9,9,9,9,9,9,9,9,9,9,9,9,1,3,2,155
6,1,1,2,2,1,14,1,12,1,1,4,1,2,2,6,1,1,9,9,9,9,9,9,9,9,9,9,9,9,3,2,11,288
2,1,1,1,1,1,14,1,1,1,1,4,1,2,2,7,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,2,1,84
1,1,1,1,3,2,14,1,6,1,1,2,2,9,2,4,2,5,0,0,0,0,0,0,0,0,1,1,0,0,1,2,1,60
3,1,2,2,3,3,14,1,7,1,1,3,1,9,2,3,2,1,0,0,0,0,0,0,0,0,1,0,0,0,1,3,2,166
5,1,1,3,3,1,14,1,2,1,1,4,2,9,2,4,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,3,2,64
2,1,1,1,7,3,14,1,1,1,1,9,4,9,2,9,2,5,1,0,0,0,0,0,0,0,0,1,0,0,1,4,3,119
4,1,1,1,4,2,14,1,2,1,1,2,2,2,1,99,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,3,2,106
3,1,2,3,10,1,14,1,11,1,1,2,4,1,2,1,1,3,9,9,9,9,9,9,9,9,9,9,9,9,1,2,1,171
2,1,1,1,10,2,14,1,12,1,1,2,2,1,2,7,1,3,0,0,0,0,0,0,0,0,1,0,0,0,1,3,2,28
2,1,2,2,2,2,14,1,3,1,1,4,1,2,2,4,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,3,2,182
2,1,1,2,13,1,14,1,3,1,1,3,1,1,2,3,2,3,9,9,9,9,9,9,9,9,9,9,9,9,1,2,1,10
5,1,1,2,2,1,14,1,3,1,1,4,1,2,2,6,1,1,9,9,9,9,9,9,9,9,9,9,9,9,1,3,2,64
2,1,1,1,2,3,14,1,5,1,1,2,1,2,2,4,2,1,1,1,0,1,0,0,0,0,0,0,0,0,1,3,2,63
5,1,1,1,13,2,14,1,12,1,1,3,3,1,2,9,2,3,0,0,0,0,0,0,0,0,0,0,1,0,1,3,2,153
14,1,1,1,9,1,14,1,3,1,1,2,2,1,2,6,2,3,0,1,0,0,0,0,0,0,0,0,0,0,3,2,11,293
5,1,1,1,3,1,14,1,2,1,1,2,2,9,2,4,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,2,1,199
5,1,2,3,11,1,14,1,10,1,1,1,2,1,2,4,2,3,9,9,9,9,9,9,9,9,9,9,9,9,1,3,2,21
3,1,1,1,13,1,14,1,10,1,1,3,1,1,2,9,2,5,1,1,0,0,0,0,0,1,1,0,0,0,1,3,2,153
12,1,1,3,9,1,14,1,11,1,1,2,8,2,2,9,2,5,9,9,9,9,9,9,9,9,9,9,9,9,2,3,9,283
5,1,1,1,4,4,14,1,10,1,1,1,2,1,2,3,2,3,0,1,0,0,0,1,0,0,0,0,0,0,1,3,2,166
2,1,2,4,2,1,14,1,8,1,1,4,1,2,2,4,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,3,2,97
3,1,2,2,10,1,14,1,7,1,1,3,1,1,1,99,2,2,9,9,9,9,9,9,9,9,9,9,9,9,1,2,1,209
3,1,1,1,11,2,14,1,9,1,1,1,1,1,1,99,2,3,1,1,1,0,0,0,1,1,0,0,0,0,1,3,2,168
3,1,1,1,10,2,14,1,9,1,1,1,1,1,1,99,2,3,9,9,9,9,9,9,9,9,9,9,9,9,1,3,2,168
1,1,2,2,2,1,14,1,11,1,1,3,1,2,2,9,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,3,2,14
3,1,1,1,2,3,14,1,6,1,1,4,1,2,2,4,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,4,3,124
4,1,3,5,10,6,14,1,4,1,1,2,1,1,2,3,2,5,9,9,9,9,9,9,9,9,9,9,9,9,1,3,2,168
3,1,1,1,11,1,14,1,11,1,1,1,1,1,1,99,1,3,9,9,9,9,9,9,9,9,9,9,9,9,1,3,2,153
4,2,1,1,2,1,14,1,6,1,1,4,1,2,2,3,2,1,0,0,0,0,0,0,0,0,1,0,0,0,1,3,2,151
4,1,1,1,15,3,14,1,5,1,1,4,1,1,2,6,2,1,0,0,0,0,0,0,1,0,0,0,0,0,1,3,2,166
4,1,1,2,2,1,14,1,6,1,1,4,1,1,2,6,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,2,1,212
4,1,1,2,10,3,14,1,4,1,1,4,1,1,2,3,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,3,2,166
5,1,1,1,4,3,14,1,10,1,1,1,2,2,2,99,2,1,1,1,1,0,0,1,0,0,0,0,0,0,1,4,3,177
3,1,1,1,6,2,14,1,11,1,1,2,3,2,2,9,1,5,0,1,0,0,0,0,0,0,0,1,0,0,1,4,3,118
5,2,2,3,4,1,14,1,4,1,1,2,2,2,1,99,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,2,4,259
5,1,1,1,2,1,14,1,8,1,1,4,1,2,2,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,4,3,89
14,1,1,1,5,1,14,1,9,1,1,2,1,1,1,99,2,2,0,1,0,0,0,0,0,0,0,0,0,0,2,3,9,281
3,1,1,1,1,2,14,1,10,1,1,4,5,2,1,99,2,3,0,0,1,0,0,0,0,1,1,0,0,0,1,4,3,2
3,1,1,1,4,2,14,1,1,1,1,2,2,2,2,9,1,1,0,1,1,0,0,0,0,0,1,0,0,0,1,4,3,90
5,1,1,1,3,1,14,1,4,1,1,4,2,9,2,3,2,1,1,1,1,0,0,0,0,1,1,0,0,0,1,3,2,178
