VIV_SEL,HOGAR,ND_TIPO,TD_TIPO,BPCOD,R_SEL,RESUL_H,SEXO,EDAD,AREAM_OCU,BP1_1,BP1_2C,BP1_3C,BP1_4,BP1_5,BP1_6,BP1_20,BP1_23,BP1_30,BP1_33,BP1_36_01,BP1_36_02,BP1_36_03,BP1_36_04,BP1_36_05,BP1_36_06,BP1_36_07,BP1_36_08,BP1_36_09,BP1_36_10,BP1_36_11,BP1_36_99,DOMINIO,ESTRATO,EST_DIS,UPM_DIS,CLUSTERS
2,1,1,1,4,1,1,1,40,14,10,1,1,4,2,1,2,4,2,1,1,0,0,0,0,0,0,1,1,0,0,0,1,4,3,204,1
4,1,1,1,13,1,1,2,53,14,5,1,1,1,1,1,2,4,2,3,1,1,1,1,1,1,1,1,1,0,0,0,1,3,2,90,1
4,1,1,2,4,1,1,2,43,14,1,1,1,4,2,2,2,7,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,2,1,191,1
2,1,2,3,3,2,1,2,36,14,4,1,1,9,2,9,2,4,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,3,2,122,1
5,1,1,1,3,2,1,2,48,14,2,1,1,1,2,9,2,9,2,3,9,9,9,9,9,9,9,9,9,9,9,9,1,3,2,130,1
2,1,3,3,3,2,1,2,36,14,12,1,1,3,1,9,2,4,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,3,2,122,1
5,1,1,3,8,2,1,2,31,14,4,1,1,2,4,9,2,4,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,3,2,93,1
2,1,1,3,3,2,1,2,36,14,2,1,1,2,1,9,2,4,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,3,2,122,1
3,2,2,2,2,1,1,1,37,14,4,1,1,4,1,2,2,4,2,1,0,0,0,0,0,0,0,0,0,1,0,0,1,3,2,6,1
3,1,1,1,1,1,1,1,33,14,4,1,1,2,3,2,1,99,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,3,2,13,1
4,1,1,1,3,2,1,2,43,14,6,1,1,3,2,9,2,4,2,1,0,1,0,0,0,0,0,1,1,0,0,0,1,2,1,102,1
4,1,1,1,4,5,1,1,34,14,6,1,1,4,2,2,2,6,2,1,0,0,0,0,0,0,0,1,1,0,0,0,1,2,1,213,1
3,1,1,1,3,1,1,1,76,14,4,1,1,4,2,9,2,7,2,5,0,0,0,0,0,0,0,0,1,0,0,0,1,3,2,144,1
3,1,1,1,2,2,1,2,28,14,2,1,1,2,1,2,2,3,2,1,0,1,1,1,0,0,0,1,0,0,0,0,1,3,2,119,1
4,1,1,1,2,2,1,2,25,14,10,1,1,3,1,2,2,1,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,3,2,54,1
1,1,1,2,2,1,1,1,48,14,10,1,1,2,1,2,2,4,2,5,9,9,9,9,9,9,9,9,9,9,9,9,1,3,2,111,1
4,1,3,4,3,2,1,2,44,14,6,1,1,4,2,9,2,3,2,3,9,9,9,9,9,9,9,9,9,9,9,9,1,2,1,45,1
5,1,1,1,6,3,1,1,27,14,4,1,1,4,1,1,2,4,2,1,0,0,0,0,0,0,0,0,1,0,0,0,1,2,1,86,1
5,1,1,1,6,1,1,1,39,14,99,1,1,9,1,2,2,4,2,5,0,0,0,0,0,0,0,0,0,0,1,0,1,3,2,117,1
1,1,1,1,5,4,1,1,23,14,5,1,1,3,1,1,1,99,2,1,1,1,1,1,1,0,1,1,1,0,0,0,1,2,1,4,1
1,1,1,3,2,2,1,2,40,14,12,1,1,1,1,2,2,4,1,1,9,9,9,9,9,9,9,9,9,9,9,9,1,2,1,200,1
2,1,2,2,2,5,1,2,20,14,2,1,1,2,1,1,1,99,2,5,9,9,9,9,9,9,9,9,9,9,9,9,1,2,1,86,1
2,1,1,1,4,1,1,1,47,14,6,1,1,2,2,2,2,4,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,3,2,130,1
1,1,3,5,3,3,1,1,22,14,99,1,1,2,2,9,2,4,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,4,3,167,1
4,1,1,1,10,2,1,2,50,14,5,1,1,1,1,1,1,99,1,3,0,0,0,1,1,0,0,1,1,0,0,0,1,3,2,58,1
1,1,1,1,2,2,1,2,35,14,99,1,1,3,1,2,2,4,2,3,1,1,1,1,0,0,0,0,1,0,0,0,1,4,3,243,1
3,1,1,1,4,3,1,1,21,14,6,1,1,4,2,1,2,4,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,3,2,146,1
2,1,1,1,3,1,1,2,44,14,2,1,1,4,2,9,2,4,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,3,2,66,1
1,1,2,5,2,3,1,1,22,14,6,1,1,4,1,2,2,9,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,4,3,167,1
2,1,1,1,2,2,1,2,42,14,11,1,1,4,2,2,2,4,1,1,9,9,9,9,9,9,9,9,9,9,9,9,1,4,3,231,1
2,1,1,1,2,1,1,2,51,14,11,1,1,3,1,2,1,99,2,1,0,1,0,1,1,0,0,1,0,0,0,0,1,4,3,218,1
2,1,1,1,3,1,1,1,40,14,9,1,1,4,2,9,2,4,2,5,9,9,9,9,9,9,9,9,9,9,9,9,1,4,3,204,1
2,1,1,1,5,2,1,2,36,14,6,1,1,1,1,1,2,4,2,3,0,0,0,0,0,0,0,1,1,0,0,0,1,3,2,122,1
1,1,1,1,10,1,1,2,53,14,8,1,1,9,2,1,2,9,2,3,1,1,1,1,1,1,1,1,1,0,0,0,1,3,2,18,1
4,1,1,1,8,1,1,1,38,14,1,1,1,9,9,9,2,99,2,9,0,0,0,0,0,0,0,0,0,1,0,0,1,4,233,6238,1
1,1,1,1,4,3,1,2,58,14,1,1,1,4,2,1,2,7,2,3,9,9,9,9,9,9,9,9,9,9,9,9,1,2,1,235,1
2,1,3,3,2,5,1,2,19,14,4,1,1,4,1,2,2,4,1,1,9,9,9,9,9,9,9,9,9,9,9,9,1,3,2,25,1
2,1,2,2,4,2,1,2,27,14,1,1,1,2,2,2,2,6,2,5,1,1,1,1,1,1,1,1,1,0,0,0,1,3,2,125,1
5,1,1,1,10,1,1,1,28,14,10,1,1,1,3,1,2,9,2,3,1,1,1,1,1,0,0,1,1,0,0,0,1,4,3,1,1
3,1,1,1,11,2,1,1,18,14,11,1,1,3,1,1,2,6,2,5,0,1,0,0,0,0,0,0,1,0,0,0,1,2,1,207,1
1,1,2,2,2,2,1,2,51,14,4,1,1,4,1,2,2,99,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,3,2,20,1
3,1,2,2,3,1,1,1,26,14,2,1,1,4,2,9,2,7,2,1,1,1,1,1,1,1,1,1,1,0,0,0,1,3,2,8,1
20,1,2,4,2,1,1,2,30,14,6,1,1,2,1,2,1,99,2,1,9,9,9,9,9,9,9,9,9,9,9,9,3,2,11,295,1
1,1,1,1,9,1,1,1,48,14,11,1,1,2,2,1,2,4,2,5,9,9,9,9,9,9,9,9,9,9,9,9,1,3,2,111,1
5,1,1,1,3,2,1,2,33,14,11,1,1,4,2,9,2,6,2,3,9,9,9,9,9,9,9,9,9,9,9,9,1,3,2,121,1
5,1,1,1,2,1,1,1,52,14,12,1,1,9,2,2,2,4,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,3,2,20,1
2,1,2,2,2,1,1,1,22,14,12,1,1,4,1,1,2,5,2,1,1,0,0,0,0,0,0,1,1,0,0,0,1,2,1,197,1
4,1,1,1,3,1,1,1,37,14,4,1,1,4,2,9,2,4,2,1,1,0,0,0,0,0,0,1,1,0,0,0,1,4,3,52,1
1,1,1,1,5,2,1,1,61,14,99,1,1,1,1,1,2,99,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,2,1,44,1
2,1,1,3,2,1,1,1,61,14,12,1,1,1,1,2,2,4,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,4,3,56,1
2,1,1,1,4,7,1,2,18,14,4,1,1,4,2,1,2,3,2,5,1,0,0,0,0,0,0,0,1,0,0,0,1,3,2,109,1
4,1,1,2,2,2,1,2,67,14,2,1,1,3,1,2,2,4,2,5,9,9,9,9,9,9,9,9,9,9,9,9,1,4,3,170,1
2,1,1,1,9,1,1,2,58,14,11,1,1,2,2,1,2,3,2,5,0,0,0,1,0,0,0,0,0,0,0,0,1,3,2,47,1
1,1,1,1,2,4,1,1,60,14,11,1,1,1,1,2,2,4,2,1,0,0,1,1,0,0,0,1,0,0,0,0,1,3,2,130,1
4,1,5,5,4,2,1,2,44,14,1,1,1,4,2,1,2,4,2,3,1,1,1,1,1,1,1,1,1,0,0,0,1,2,1,45,1
1,1,2,3,3,2,1,2,45,14,12,1,1,3,1,9,2,6,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,3,2,122,1
4,1,2,2,13,2,1,2,19,14,5,1,1,3,1,1,2,5,2,3,1,1,0,0,0,0,0,0,0,0,0,0,1,3,2,154,1
1,1,1,5,2,3,1,1,22,14,12,1,1,4,1,2,2,99,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,4,3,167,1
4,1,1,1,2,1,1,1,53,14,5,1,1,1,1,2,2,4,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,4,3,32,1
1,1,3,5,2,3,1,1,22,14,6,1,1,4,1,2,2,4,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,4,3,167,1
5,1,1,1,2,2,1,1,44,14,5,1,1,4,1,2,2,4,2,1,0,0,0,0,0,0,0,1,1,0,0,0,1,3,2,3,1
2,1,1,1,9,1,1,1,36,14,3,1,1,1,3,1,2,5,2,3,0,1,0,1,0,0,1,0,1,0,0,0,1,2,1,254,1
2,1,1,1,9,2,1,2,59,14,99,1,1,2,2,1,2,3,2,5,1,0,1,1,0,0,0,0,0,0,0,0,1,2,1,71,1
3,1,2,2,2,1,1,1,33,14,10,1,1,3,3,2,2,4,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,3,2,13,1
2,1,1,1,7,2,1,2,42,14,9,1,1,2,9,9,2,9,2,1,0,0,1,0,0,0,0,1,0,0,0,0,1,4,3,231,1
3,2,1,2,2,1,1,1,37,14,11,1,1,4,1,1,2,6,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,3,2,6,1
2,1,1,1,9,3,1,1,50,14,6,1,1,2,2,1,2,6,2,3,0,0,0,0,0,0,0,0,1,0,0,0,1,3,2,16,1
20,1,2,2,4,1,1,2,30,14,1,1,1,2,2,2,2,4,2,1,9,9,9,9,9,9,9,9,9,9,9,9,3,2,11,295,1
3,1,1,1,10,2,1,1,18,14,9,1,1,3,1,1,1,99,2,5,9,9,9,9,9,9,9,9,9,9,9,9,1,2,1,207,1
2,1,2,2,2,2,1,1,41,14,5,1,1,4,1,2,2,4,2,1,0,0,0,0,0,0,0,1,0,0,0,0,1,2,1,224,1
3,1,1,2,3,1,1,1,26,14,11,1,1,4,2,9,2,7,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,3,2,8,1
3,1,2,2,2,4,1,1,18,14,6,1,1,1,1,2,2,99,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,2,1,222,1
3,1,1,1,8,1,1,1,26,14,11,1,1,2,8,9,2,4,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,3,2,8,1
2,1,1,1,2,6,1,1,19,14,6,1,1,4,1,2,2,4,2,4,0,0,0,0,0,0,0,1,0,0,0,0,1,2,1,198,1
3,1,2,2,5,4,1,1,18,14,8,1,1,3,1,1,2,3,2,1,1,1,1,1,1,0,0,0,1,0,0,0,1,2,1,222,1
5,1,1,1,8,1,1,1,52,14,9,1,1,9,2,9,2,9,1,1,0,0,1,1,0,0,0,1,0,0,0,0,1,3,2,20,1
2,1,1,1,4,5,1,2,19,14,4,1,1,2,2,2,2,5,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,3,2,25,1
5,1,1,1,8,1,1,1,33,14,12,1,1,2,4,9,2,4,1,1,0,0,1,1,0,0,0,1,0,0,0,0,1,2,1,235,1
5,1,1,2,2,1,1,1,36,14,9,1,1,4,2,1,1,99,1,1,9,9,9,9,9,9,9,9,9,9,9,9,1,3,2,80,1
1,1,1,1,9,2,1,2,61,14,12,1,1,2,1,1,2,6,2,3,1,1,1,1,1,1,1,1,1,1,0,0,1,3,2,24,1
1,1,1,2,2,2,1,2,51,14,11,1,1,4,1,1,2,9,2,3,9,9,9,9,9,9,9,9,9,9,9,9,1,3,2,20,1
4,1,1,4,3,2,1,2,44,14,12,1,1,4,2,9,2,3,2,3,9,9,9,9,9,9,9,9,9,9,9,9,1,2,1,45,1
4,1,2,5,4,2,1,2,44,14,8,1,1,4,2,1,2,9,1,3,9,9,9,9,9,9,9,9,9,9,9,9,1,2,1,45,1
15,1,1,3,4,1,1,1,73,14,99,1,1,1,2,2,2,6,2,1,9,9,9,9,9,9,9,9,9,9,9,9,2,2,9,277,1
3,1,1,1,9,2,1,2,40,14,99,1,1,2,3,1,2,8,2,3,1,0,0,0,0,0,0,1,0,0,0,0,1,2,1,173,1
2,1,1,2,6,3,1,1,38,14,1,1,1,2,1,1,1,99,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,2,1,26,1
4,1,1,1,5,2,1,2,45,14,8,1,1,2,1,1,1,99,2,1,1,1,1,1,1,1,1,1,1,0,0,0,1,3,2,129,1
1,1,3,3,9,1,1,1,43,14,2,1,1,1,1,1,2,6,2,5,1,0,1,1,0,0,1,0,1,0,0,0,1,4,590,13066,0
3,1,1,1,5,2,1,2,40,14,8,1,1,3,1,1,2,5,2,3,9,9,9,9,9,9,9,9,9,9,9,9,1,2,1,173,1
2,1,1,1,3,2,1,2,42,14,11,1,1,3,1,9,1,99,1,1,9,9,9,9,9,9,9,9,9,9,9,9,1,3,2,11,1
4,1,1,1,6,2,1,2,40,14,2,1,1,4,2,2,2,4,2,1,0,0,0,0,0,0,0,1,1,0,0,0,1,4,3,113,1
5,1,1,1,2,2,1,2,44,14,4,1,1,3,5,2,2,3,2,1,0,1,1,1,1,1,1,0,1,0,0,0,1,3,589,13067,0
2,1,1,1,3,1,1,1,47,14,2,1,1,4,2,9,2,4,2,5,0,0,0,0,0,0,0,1,0,0,0,0,1,3,2,132,1
2,1,1,1,3,7,1,2,18,14,3,1,1,4,2,9,2,3,2,5,9,9,9,9,9,9,9,9,9,9,9,9,1,3,2,109,1
