VIV_SEL,HOGAR,ND_TIPO,TD_TIPO,BPCOD,R_SEL,AREAM_OCU,RESUL_H,BP1_1,BP1_2C,BP1_3C,BP1_4,BP1_5,BP1_6,BP1_20,BP1_23,BP1_30,BP1_33,BP1_34,BP1_35,BP1_36_01,BP1_36_02,BP1_36_03,BP1_36_04,BP1_36_05,BP1_36_06,BP1_36_07,BP1_36_08,BP1_36_09,BP1_36_10,BP1_36_11,BP1_36_99,FAC_DEL,EST_DIS,UPM_DIS,DOMINIO,ESTRATO,FAC_DEL_AM,CLUSTERS
1,1,1,1,2,3,14,1,9,1,1,4,1,2,2,5,2,1,3500,0,0,0,0,0,0,0,0,1,1,0,0,0,195,5,148,1,3,192,0
3,1,1,2,10,1,14,1,11,1,1,1,1,1,2,4,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,796,5,75,1,3,784,0
2,1,1,1,3,2,14,1,7,1,1,3,2,1,2,6,2,5,4853,227,0,0,0,0,0,0,0,1,0,0,0,0,162,5,20,1,3,161,0
2,1,1,1,2,2,14,1,10,1,1,4,1,2,1,4,1,1,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,169,5,67,1,3,167,0
5,1,1,1,10,2,14,1,7,1,1,1,1,1,2,4,2,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,396,4,248,1,2,388,0
3,1,1,1,9,1,14,1,6,1,1,2,2,1,2,4,1,3,0,0,1,1,1,1,0,1,0,0,1,0,0,0,366,5,65,1,3,364,0
2,1,1,1,2,2,14,1,4,1,1,4,1,2,2,6,2,1,9000,0,0,0,0,0,0,0,0,0,0,0,0,0,302,4,249,1,2,297,0
5,1,1,1,2,2,14,1,11,1,1,4,1,2,2,4,2,1,600,0,0,0,0,0,0,0,0,0,0,0,0,0,204,4,59,1,2,200,0
1,1,1,1,1,1,14,1,10,1,1,4,1,2,2,6,1,5,4853,227,0,0,0,0,0,0,0,0,0,0,0,0,189,5,147,1,3,188,0
4,1,2,2,3,2,14,1,4,1,1,3,3,1,2,4,2,2,1000,0,0,1,1,1,1,0,0,0,0,0,0,0,172,5,1,1,3,173,0
2,1,1,1,3,2,14,1,3,1,1,2,2,1,1,4,2,1,200,0,0,0,0,0,0,0,0,1,0,0,0,0,174,4,239,1,2,173,0
3,1,1,2,2,1,14,1,9,1,1,1,1,2,2,4,2,1,1400,0,0,0,0,0,0,0,0,0,0,0,0,0,302,4,249,1,2,297,0
4,1,3,3,3,4,14,1,11,1,1,3,2,1,2,4,2,5,4853,227,0,0,0,0,0,0,0,0,0,0,0,0,175,5,173,1,3,174,0
2,1,1,1,4,2,14,1,2,1,1,1,2,2,1,4,2,5,4853,227,1,1,1,1,0,0,1,1,1,0,0,0,302,4,249,1,2,297,0
10,1,1,1,2,1,14,1,3,1,1,2,5,2,2,5,2,1,1500,0,1,1,1,1,1,1,1,1,1,0,0,0,166,3,298,3,2,0,0
1,1,2,2,3,1,14,1,4,1,1,3,2,1,2,5,2,1,200,0,0,0,0,0,0,0,0,0,0,0,0,0,188,5,133,1,3,188,0
3,1,3,3,2,5,14,1,10,1,1,4,1,2,2,6,2,1,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,198,5,152,1,3,196,0
2,1,1,1,2,2,14,1,11,1,1,2,1,2,2,5,2,1,3000,0,0,0,0,0,0,0,0,0,0,1,0,0,192,6,237,1,4,192,0
4,1,1,2,4,1,14,1,2,1,1,2,2,2,2,4,1,1,70000,0,0,0,0,0,0,0,0,0,0,0,0,0,180,5,91,1,3,181,0
15,1,1,1,2,1,14,1,3,1,1,3,1,2,2,4,2,1,2000,0,0,0,1,0,0,0,0,0,0,0,0,0,192,235,11715,3,2,0,0
1,1,1,1,4,1,14,1,10,1,1,3,2,2,2,6,2,1,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,185,4,235,1,2,185,0
4,1,1,1,6,1,14,1,8,1,1,2,2,2,2,4,2,5,4853,227,0,0,0,0,0,0,0,1,0,0,0,0,174,4,239,1,2,173,0
3,1,1,3,2,5,14,1,4,1,1,4,1,2,2,6,2,1,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,198,5,152,1,3,196,0
4,1,2,2,4,1,14,1,2,1,1,2,2,2,2,4,2,1,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,180,5,91,1,3,181,0
2,1,1,1,4,2,14,1,10,1,1,1,2,1,1,4,2,1,6000,0,0,0,1,1,0,0,0,0,1,0,0,0,180,5,91,1,3,181,0
1,1,1,1,5,2,14,1,12,1,1,3,1,1,2,3,2,3,0,0,1,0,0,0,0,0,0,1,1,0,0,0,332,3,298,3,2,0,0
2,1,2,3,2,3,14,1,6,1,1,4,1,2,2,6,2,1,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,195,5,127,1,3,195,0
5,1,1,1,3,1,14,1,4,1,1,4,1,1,2,4,2,5,4853,227,0,0,0,0,0,0,0,0,0,0,0,0,186,4,203,1,2,184,0
2,1,1,1,4,2,14,1,4,1,1,1,2,1,1,4,2,1,20000,0,1,1,1,1,0,1,0,1,1,0,0,0,183,5,65,1,3,182,0
2,1,1,1,2,2,14,1,10,1,1,3,1,2,2,5,2,1,2400,0,0,0,0,0,0,0,0,0,0,0,0,0,183,5,65,1,3,182,0
1,1,1,1,2,1,14,1,8,1,1,3,1,2,2,6,2,1,2000,0,0,0,0,0,0,0,0,1,1,0,0,0,189,5,147,1,3,188,0
4,1,3,3,2,5,14,1,9,1,1,4,1,2,2,5,2,1,5000,0,0,0,1,0,0,0,0,1,0,0,0,0,199,5,75,1,3,196,0
1,1,1,3,2,1,14,1,4,1,1,2,1,2,2,4,2,1,6000,0,0,0,0,0,0,0,0,0,0,0,0,0,180,4,238,1,2,179,0
5,1,1,1,7,1,14,1,7,1,1,2,4,1,2,9,2,1,6000,0,1,0,0,0,0,0,1,1,1,0,0,0,354,5,132,1,3,352,0
4,1,1,1,11,1,14,1,12,1,1,2,1,1,1,4,2,1,0,1000,0,0,0,0,0,0,0,1,1,0,0,0,180,5,91,1,3,181,0
5,1,1,1,9,1,14,1,11,1,1,1,2,1,2,4,2,5,4853,227,0,1,0,1,0,0,0,0,0,0,0,0,186,4,203,1,2,184,0
1,1,1,1,3,1,14,1,6,1,1,4,2,1,2,5,2,1,300,0,0,1,1,1,1,1,1,1,1,0,0,0,201,4,61,1,2,201,0
5,1,1,1,4,2,14,1,7,1,1,3,2,2,2,1,1,1,6000,0,1,1,1,1,0,1,1,1,1,0,0,0,199,5,63,1,3,197,0
1,1,1,1,1,1,14,1,10,1,1,9,4,2,2,9,2,1,30000,0,0,0,0,1,0,0,0,0,0,0,0,0,188,5,126,1,3,187,0
4,1,1,1,3,3,14,1,2,1,1,4,1,1,2,99,2,9,4853,227,0,0,0,0,0,0,0,1,0,0,0,0,183,4,234,1,2,180,0
3,1,1,1,2,2,14,1,8,1,1,2,1,2,2,3,1,1,1000,0,0,1,0,0,0,0,0,0,1,0,0,0,166,3,298,3,2,0,0
5,1,1,1,2,1,14,1,2,1,1,3,1,2,2,6,2,1,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,175,5,58,1,3,176,0
3,1,1,1,2,3,14,1,6,1,1,4,1,2,2,5,2,1,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,175,5,58,1,3,176,0
2,1,1,1,4,4,14,1,11,1,1,3,2,2,2,3,2,1,1000,0,0,0,0,0,0,0,0,1,1,0,0,0,188,5,149,1,3,186,0
4,1,1,1,9,1,14,1,6,1,1,1,2,1,2,4,2,5,4853,227,0,0,0,0,0,0,0,0,0,0,0,0,180,5,91,1,3,181,0
4,1,1,1,7,2,14,1,8,1,1,2,5,1,2,7,1,1,2000,0,0,0,0,1,0,0,0,0,0,0,0,0,549,5,19,1,3,549,0
1,1,4,4,2,1,14,1,12,1,1,4,1,2,2,8,2,1,500,0,0,0,0,0,0,0,0,0,0,0,0,0,199,5,75,1,3,196,0
1,1,1,1,2,1,14,1,2,1,1,4,1,2,2,3,2,1,1400,0,0,0,0,1,0,0,0,0,0,0,0,0,182,4,140,1,2,182,0
5,1,1,2,3,2,14,1,2,1,1,3,2,1,2,7,2,1,300,0,0,0,0,0,0,0,0,0,0,0,0,0,188,5,133,1,3,188,0
3,1,1,1,11,4,14,1,1,1,1,4,1,1,1,4,2,1,1000,0,1,1,1,0,0,0,1,0,1,0,0,0,752,5,126,1,3,748,0
3,1,2,3,2,5,14,1,7,1,1,4,1,2,2,6,2,1,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,198,5,152,1,3,196,0
2,1,3,3,2,3,14,1,10,1,1,4,1,2,2,6,2,1,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,195,5,127,1,3,195,0
1,1,1,1,4,4,14,1,11,1,1,3,2,2,2,1,1,5,4853,227,0,0,0,0,0,0,0,0,0,0,0,0,185,4,207,1,2,184,0
20,1,1,1,9,2,14,1,4,1,1,1,5,1,2,9,1,3,0,0,1,0,0,1,0,0,0,0,1,0,0,0,332,3,298,3,2,0,0
5,1,2,2,2,1,14,1,5,1,1,3,1,2,2,4,2,1,1100,0,0,0,0,0,0,0,0,0,0,0,0,0,186,4,203,1,2,184,0
2,1,1,3,2,1,14,1,99,1,1,4,1,2,2,4,2,1,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,193,4,76,1,2,190,0
3,1,2,2,2,2,14,1,7,1,1,4,1,2,2,6,2,1,3000,0,0,0,0,0,0,0,0,1,1,0,0,0,195,5,148,1,3,192,0
1,1,1,1,3,3,14,1,12,1,1,3,2,1,2,4,2,1,1000,0,1,1,0,1,0,0,1,0,1,0,0,0,213,6,209,1,4,210,0
2,1,2,2,2,1,14,1,4,1,1,4,1,2,2,7,2,1,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,185,4,235,1,2,185,0
3,1,2,2,8,1,14,1,9,1,1,2,3,1,1,4,2,1,700,0,0,1,0,1,0,0,0,1,1,0,0,0,636,108,5724,2,2,0,0
1,1,1,4,2,1,14,1,6,1,1,4,1,2,2,5,2,1,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,199,5,75,1,3,196,0
